----|-----------|-----------|-----------|------------|-------------
 62 |  3.50e+00 |  1.86e-01 |  1.46e-01 |          2 |  2.49e-05 
 63 |  3.50e+00 |  1.99e-01 |  1.43e-01 |          3 |  1.91e-06 
 64 |  3.50e+00 |  1.85e-01 |  1.40e-01 |          2 |  2.42e-05 
 65 |  3.50e+00 |  1.96e-01 |  1.37e-01 |          3 |  1.82e-06 
 66 |  3.50e+00 |  1.84e-01 |  1.34e-01 |          2 |  2.34e-05 
 67 |  3.50e+00 |  1.94e-01 |  1.32e-01 |          3 |  1.73e-06 
 68 |  3.50e+00 |  1.83e-01 |  1.29e-01 |          2 |  2.26e-05 
 69 |  3.50e+00 |  1.93e-01 |  1.27e-01 |          2 |  9.73e-05 
----|-----------|-----------|-----------|------------|-------------
 it | avrg cost | grad. nrm | step size | std st itr | std st viol 
----|-----------|-----------|-----------|------------|-------------
 70 |  3.50e+00 |  1.82e-01 |  1.24e-01 |          2 |  2.17e-05 
 71 |  3.50e+00 |  1.91e-01 |  1.22e-01 |          2 |  9.13e-05 
